[2022-03-16 11:01:48,472] Precondition - Step 01: Open Aspire website
[2022-03-16 11:02:12,470] Precondition - Step 02: Enter to 'Email' textbox with value = user@aspireapp.com
[2022-03-16 11:02:12,628] Precondition - Step 03: Enter to 'Password' textbox with value = @sp1r3app
[2022-03-16 11:02:12,797] Precondition - Step 04: Click to 'login' button
[2022-03-16 11:02:14,377] Create Product - Step 01: Click to 'Inventory' link
[2022-03-16 11:02:14,717] Create Product - Step 02: Click to 'Products' Menu
[2022-03-16 11:02:15,179] Create Product - Step 03: Click to 'Products' Sub Menu
[2022-03-16 11:02:15,268] Create Product - Step 04: Click to 'Create' button at Products Page
[2022-03-16 11:02:15,941] Create Product - Step 05: Enter to 'Product Name' textbox with value = Fastfood357
[2022-03-16 11:02:17,322] Create Product - Step 06: Click to 'Update Quantity' button
[2022-03-16 11:02:17,432] Create Product - Step 07: Click to 'Create' button at Update Quantity Page
[2022-03-16 11:02:18,563] Create Product - Step 08: Enter to 'Counted Quantity' textbox with value = 50.00
[2022-03-16 11:02:18,818] Create Product - Step 09: Click to 'Save' button at Update Quantity Page
[2022-03-16 11:02:18,905] Create Product - Step 10: Click to Application icon
[2022-03-16 11:02:19,118] Create Manufacturing Order - Step 01: Click to 'Manufacturing' link
[2022-03-16 11:02:19,265] Create Manufacturing Order - Step 02: Click to 'Create' button at Manufacturing order screen
[2022-03-16 11:02:20,466] Create Manufacturing Order - Step 03: Verify 'Draft' button with title = 'Current state' is displayed
[2022-03-16 11:02:20,843]  -------------------------- PASSED -------------------------- 
[2022-03-16 11:02:20,845] Create Manufacturing Order - Step 04: Select to 'Product' dropdown with value = Fastfood357
[2022-03-16 11:02:22,079] Create Manufacturing Order - Step 05: Click to 'Confirm' button
[2022-03-16 11:02:22,168] Create Manufacturing Order - Step 06: Verify 'Confirmed' button with title = 'Current state' is displayed
[2022-03-16 11:02:23,115]  -------------------------- PASSED -------------------------- 
[2022-03-16 11:02:23,115] Create Manufacturing Order - Step 07: Click to 'Mark as done' button
[2022-03-16 11:02:23,190] Create Manufacturing Order - Step 08: Click to 'OK' at 'Confirmation' Popup 
[2022-03-16 11:02:23,317] Create Manufacturing Order - Step 09: Click to 'Apply' button at 'Confirmation' Popup 
[2022-03-16 11:02:23,620] Create Manufacturing Order - Step 10: Verify 'Done' button with title = 'Current state' is displayed
[2022-03-16 11:02:24,332]  -------------------------- PASSED -------------------------- 
[2022-03-16 11:02:24,332] Create Manufacturing Order - Step 11: Click to 'Save' button
[2022-03-16 11:02:24,454] Create Manufacturing Order - Step 12: Get Value of 'Manufacturing Order' text
[2022-03-16 11:02:24,532] Create Manufacturing Order - Step 13: Click to 'Manufacturing' link
[2022-03-16 11:02:24,641] Create Manufacturing Order - Step 14: Click to 'Remove' icon of Manufacturing Orders Search
[2022-03-16 11:02:25,313] Create Manufacturing Order - Step 15: Enter to 'Search' textbox with value = WH/MO/02687
[2022-03-16 11:02:26,016] Create Manufacturing Order - Step 16: Verify new manufacturing order is create with corectted information
[2022-03-16 11:02:26,099]  -------------------------- PASSED -------------------------- 
